username,nom,categorie,instagram_followers,instagram_following,instagram_posts,tiktok_followers,youtube_subscribers,youtube_views,score_influence,niveau,audience_totale,categorie_encoded,ratio_ff,nb_plateformes
dorra_zarrouk,Dorra Zarrouk,Actors,16700000,893,3300,1200000,0,0,65,Mega,17900000,0,5.347305069023649e-05,2
manelamara,Manelamara,Actors,5000000,12,5900,819700,0,0,60,Mega,5819700,0,2.399999520000096e-06,2
cuisineolfa,Cuisine Olfa المطبخ التونسي مع ألفة,Food,208,463,1300,431,1740000,244277873,59,Mega,1740639,3,2.215311004784689,3
zaza_show_,Zaza Show,Singer,2400000,131,2300,570900,0,0,54,Mega,2970900,11,5.4583310590287256e-05,2
rymooshka,Rymooshka,Lifestyle,2200000,405,1200,20,0,0,54,Mega,2200020,6,0.00018409082541326119,2
faycellahdiri,Faycellahdiri,Humor,1200000,3700,1300,116600,0,0,54,Mega,1316600,5,0.0030833307638910303,2
gharbiikarim,Gharbiikarim,Actors,2300000,3600,1500,187600,0,0,54,Mega,2487600,0,0.0015652167107753432,2
hanen_chograni_,Hanen Chograni,Actors,1200000,2600,2400,194900,0,0,54,Mega,1394900,0,0.0021666648611126157,2
hendsabri,Hendsabri,Actors,3600000,1300,1800,914900,0,0,54,Mega,4514900,0,0.000361111010802497,2
latifaofficial,Latifaofficial,Singer,3500000,5300,4600,363000,0,0,54,Mega,3863000,11,0.0015142852816327768,2
marambenazizaofficial,Marambenazizaofficial,Actors,2600000,1,1500,40600,0,0,54,Mega,2640600,0,3.8461523668644745e-07,2
marwa_agrebi_,Marwa Agrebi,Actors,3500000,1500,2100,393300,0,0,54,Mega,3893300,0,0.00042857130612248396,2
mayssa.ferchichi,Mayssa.Ferchichi,Lifestyle,954500,1000,1600,181400,0,0,54,Mega,1135900,6,0.0010476678390069784,2
officialnajlaettounsia,Officialnajlaettounsia,Singer,1500000,40,1100,405200,0,0,54,Mega,1905200,11,2.666664888890074e-05,2
omar_lartiste_maquilleur,Omar Lartiste Maquilleur,Makeup Artist,1100000,582,1100,6200,0,0,54,Mega,1106200,7,0.0005290904280996108,2
rapklay_bbj,Rapklay Bbj,Rap,1000000,359,1300,39500,0,0,54,Mega,1039500,10,0.000358999641000359,2
cheb_bachir1,Cheb Bachir1,Singer,1000000,43,1300,691000,0,0,54,Mega,1691000,11,4.2999957000043e-05,2
samiramagroun,Samiramagroun,Actors,2100000,2200,2200,1100,0,0,54,Mega,2101100,0,0.001047618548753072,2
rymsaidi,Rymsaidi,Modeling,1800000,2600,2500,98700,0,0,54,Mega,1898700,8,0.0014444436419757544,2
theswaggmantv,Theswaggmantv,Rap,1000000,5600,5900,1300000,0,0,54,Mega,2300000,10,0.0055999944000056,2
akrammag,Akrammag,Singer,1000000,385,2400,197600,0,0,54,Mega,1197600,11,0.000384999615000385,2
saberrebai,Saberrebai,Singer,1900000,54,1500,20000,0,0,54,Mega,1920000,11,2.8421037673138068e-05,2
zaiemhedi,Zaiemhedi,TV Host,2200000,2000,1900,160500,0,0,54,Mega,2360500,13,0.0009090904958679564,2
samiatrabelsiii,Samiatrabelsiii,Actors,2200000,1000,1200,657900,0,0,54,Mega,2857900,0,0.0004545452479339782,2
ghali,Ghali,Rap,3600000,1100,110,1600000,0,0,50,Mega,5200000,10,0.00030555547067903595,2
fatma.bououn,Fatma.Bououn,Lifestyle,1200000,2100,932,410200,0,0,49,Mega,1610200,6,0.001749998541667882,2
yosramahnouch,Yosramahnouch,Singer,1200000,223,2400,0,0,0,49,Mega,1200000,11,0.00018583317847235129,1
samir_elwafi,Samir Elwafi,TV Host,1100000,1900,3800,0,0,0,49,Mega,1100000,13,0.0017272711570262209,1
dareen_haddad,Dareen Haddad,Actors,3400000,1800,576,25800,0,0,49,Mega,3425800,0,0.0005294116089965856,2
imen.cherif.officiel,Imen.Cherif.Officiel,Singer,959100,194,524,267500,0,0,49,Mega,1226600,11,0.00020227275333880372,2
khaoulaslimaniofficial,Khaoulaslimaniofficial,TV Host,2200000,409,764,148300,0,0,49,Mega,2348300,13,0.00018590900640499708,2
lady.samara,Lady.Samara,Lifestyle,905200,3700,602,641700,0,0,49,Mega,1546900,6,0.004087489960793238,2
alikaroui,Alikaroui,Fashion,1000000,999,1000,11100,0,0,49,Mega,1011100,2,0.000998999001000999,2
lety__lo,Lety  Lo,TV Host,1300000,1600,569,252800,0,0,49,Mega,1552800,13,0.0012307682840243968,2
najlabenabdallah.official,Najlabenabdallah.Official,Actors,1500000,2700,514,990,0,0,49,Mega,1500990,0,0.0017999988000008,2
maroua_issa,Maroua Issa,Singer,1600000,609,910,138,0,0,49,Mega,1600138,11,0.0003806247621095237,2
sabrine_taleb,Sabrine Taleb,Lifestyle,1000000,2700,557,1100,0,0,49,Mega,1001100,6,0.0026999973000027,2
ramla_dhouibi,Ramla Dhouibi,Lifestyle,1600000,4000,523,230700,0,0,49,Mega,1830700,6,0.0024999984375009767,2
rachabenmaouia_,Rachabenmaouia,Actors,2100000,1600,973,46800,0,0,49,Mega,2146800,0,0.0007619043990931433,2
oumaymabenhafsia4,Oumaymabenhafsia4,Actors,1700000,2300,682,15900,0,0,49,Mega,1715900,0,0.0013529403806233056,2
bassoum_hamraoui,Bassoum Hamraoui,Humor,1900000,374,600,94900,0,0,49,Mega,1994900,5,0.0001968420016621044,2
aichabahmed,Aichabahmed,Actors,2700000,787,613,1300000,0,0,49,Mega,4000000,0,0.0002914813735254172,2
sonia_younsi,Sonia Younsi,TV Host,869900,880,1200,88,0,0,48,Macro,869988,13,0.0010116093670429164,2
hanene_eleuch,Hanene Eleuch,Fashion,805000,1400,3100,103,0,0,48,Macro,805103,2,0.0017391282743748145,2
tanwicha,Tanwicha,Food,466700,4500,1200,330900,0,0,48,Macro,797600,3,0.009642147756272217,2
hamza_belloumi,Hamza Belloumi,TV Host,655600,569,1200,82,0,0,48,Macro,655682,13,0.0008679059366901515,2
najla_violette,Najla Violette,Fashion,963500,1500,11100,15100,0,0,48,Macro,978600,2,0.0015568224630799553,2
kenzatestouri,Kenzatestouri,Lifestyle,588600,757,1400,46,0,0,48,Macro,588646,6,0.0012861004313618224,2
ghadamaatouk,Ghadamaatouk,Singer,765800,3200,2500,64700,0,0,48,Macro,830500,11,0.004178631263213289,2
meriem_ben_moulehem__malika,Meriem Ben Moulehem  Malika,Actors,504500,6900,6000,290500,0,0,48,Macro,795000,0,0.013676880719760713,2
eya.naccache,Eya.Naccache,Fashion,606100,5900,3200,52,0,0,48,Macro,606152,2,0.009734351205492153,2
yosramassoudiofficial,Yosramassoudiofficial,Actors,512299,295,1100,61300,0,0,48,Macro,573599,0,0.0005758344719890689,2
raya_bouallegue,Raya Bouallegue,Lifestyle,895900,5200,10900,18300,0,0,48,Macro,914200,6,0.00580421274225612,2
rim_bl,Rim Bl,Makeup Artist,558300,6100,1300,597,0,0,48,Macro,558897,7,0.010926005864220196,2
rymabenaissa,Rymabenaissa,Lifestyle,509700,7400,3100,151,0,0,48,Macro,509851,6,0.01451831563995362,2
liliabenaziza,Liliabenaziza,Fashion,523799,125,2200,16,0,0,48,Macro,523815,2,0.00023864070255822834,2
aminaminouch,Aminaminouch,Lifestyle,578800,1900,4400,11,0,0,48,Macro,578811,6,0.0032826480949410936,2
dhaferlabidine,Dhaferlabidine,Actors,4099999,753,1000,0,0,0,44,Mega,4099999,0,0.00018365853658536586,1
atiaaichaofficial,Atiaaichaofficial,Actors,3200000,752,401,327500,0,0,44,Mega,3527500,0,0.00023499992656252295,2
lynda_toumy,Lynda Toumy,Lifestyle,1300000,1100,434,46600,0,0,44,Mega,1346600,6,0.0008461531952667729,2
amira_al_jaziri,Amira Al Jaziri,Modeling,2000000,831,308,66400,0,0,44,Mega,2066400,8,0.0004154997922501039,2
beki_ksri,Beki Ksri,Video Blogger,2900000,2700,199,1800000,0,0,44,Mega,4700000,15,0.000931034161712358,2
myriemboukadida,Myriemboukadida,Modeling,1300000,628,335,612600,0,0,44,Mega,1912600,8,0.0004830765514795758,2
bayazardi.officiel,Bayazardi.Officiel,TV Host,1700000,604,125,12000,0,0,44,Mega,1712000,13,0.000355293908650642,2
raniatoumi_official,Raniatoumi Official,TV Host,1400000,2700,430,226300,0,0,44,Mega,1626300,13,0.001928570051021392,2
mustafa_houas,Mustafa Houas,TV Host,838100,458,117,444800,0,0,44,Mega,1282900,13,0.0005464735157218522,2
rimelbenna,Rimelbenna,Actors,1000000,453,224,30,0,0,44,Mega,1000030,0,0.000452999547000453,2
asmaothmaniofficial,Asmaothmaniofficial,Singer,1100000,408,1000,0,0,0,44,Mega,1100000,11,0.0003709087537193148,1
samy.chaffai,Samy.Chaffai,Video Blogger,1300000,2200,157,995800,0,0,44,Mega,2295800,15,0.0016923063905335458,2
lobnasediri,Lobnasediri,Actors,1700000,1100,281,783500,0,0,44,Mega,2483500,0,0.0006470584429067983,2
ghada.chaka,Ghada.Chaka,Actors,1200000,178,154,313500,0,0,44,Mega,1513500,0,0.00014833320972232523,2
fatmamahjoubofficial,Fatmamahjoubofficial,Sport,746900,748,253,318100,0,0,44,Mega,1065000,12,0.0010014714132127282,2
sami.fehri1,Sami.Fehri1,TV Host,2100000,1500,640,0,0,0,44,Mega,2100000,13,0.0007142853741498219,1
ahmed_landolsi,Ahmed Landolsi,Actors,1200000,1200,559,0,0,0,44,Mega,1200000,0,0.000999999166667361,1
oussema.soulii,Oussema.Soulii,Makeup Artist,522100,1300,1600,0,0,0,43,Macro,522100,7,0.002489939685999452,1
mariembchaabane,Mariembchaabane,Actors,535400,748,552,42,0,0,43,Macro,535442,0,0.0013970836812034345,2
seima_girl,Seima Girl,TV Host,609100,3900,1500,0,0,0,43,Macro,609100,13,0.006402878997079302,1
kaouther.bel.haj,Kaouther.Bel.Haj,Actors,544400,548,753,353,0,0,43,Macro,544753,0,0.00100661093568895,2
feriel_youssef,Feriel Youssef,Actors,769500,1500,2000,0,0,0,43,Macro,769500,0,0.0019493152055682838,1
raniagabsi,Raniagabsi,Actors,560500,1300,1200,0,0,0,43,Macro,560500,0,0.002319353578316542,1
fatmanasserofficial,Fatmanasserofficial,Actors,1000000,1600,1600,0,0,0,43,Mega,1000000,0,0.0015999984000016,1
salma_mahjoubi_officiel,Salma Mahjoubi Officiel,Actors,679500,2100,591,19,0,0,43,Macro,679519,0,0.0030905031780674346,2
peekette,Peekette,TV Host,762500,2200,2500,0,0,0,43,Macro,762500,13,0.0028852421177152556,1
lydiaasli,Lydiaasli,Fashion,538500,5000,583,69,0,0,43,Macro,538569,2,0.009285033825378226,2
oumaima_trad,Oumaima Trad,Sport,468400,556,620,293400,0,0,43,Macro,761800,12,0.0011870171071368335,2
maryem__sakka,Maryem  Sakka,Lifestyle,938400,837,1200,0,0,0,43,Macro,938400,6,0.000891942783522183,1
jihenemiled,Jihenemiled,TV Host,834200,58,917,158300,0,0,43,Macro,992500,13,6.952760785470169e-05,2
meriembenhussein,Meriembenhussein,Actors,717900,1000,702,55600,0,0,43,Macro,773500,0,0.001392949724265602,2
toumi_lina,Toumi Lina,Lifestyle,175000,1600,1300,307700,0,0,42,Macro,482700,6,0.009142804898257724,2
kamiliayat,Kamiliayat,Lifestyle,454600,6600,1500,114,0,0,42,Macro,454714,6,0.014518225872798343,2
hendjebali,Hendjebali,Lifestyle,137000,3800,2500,2,0,0,42,Macro,137002,6,0.0277370238173444,2
instaieb,Instaieb,Lifestyle,187200,6400,1900,91,0,0,42,Macro,187291,6,0.034187851560622005,2
bahakefi,Bahakefi,Singer,149100,2200,1100,3,0,0,42,Macro,149103,11,0.014755098892696897,2
belleetgourmande,Belleetgourmande,Food,481700,4000,2000,8,0,0,42,Macro,481708,3,0.008303906365151827,2
manel__hamrouni,Manel  Hamrouni,Doctor,217400,828,1200,11,0,0,42,Macro,217411,1,0.0038086301350959747,2
rymhammamy,Rymhammamy,Makeup Artist,162700,1400,1300,155,0,0,42,Macro,162855,7,0.008604741212408036,2
hamdi_hadda,Hamdi Hadda,Actors,145400,1400,9200,381,0,0,42,Macro,145781,0,0.009628544507946988,2
nourasamet,Nourasamet,Food,378400,3800,1600,51500,0,0,42,Macro,429900,3,0.010042256759363743,2
sabrine_choura,Sabrine Choura,Food,105500,1800,3000,218,0,0,42,Macro,105718,3,0.017061449654505643,2
jamilachihi,Jamilachihi,Actors,102200,566,1200,33300,0,0,42,Macro,135500,0,0.005538106280760462,2
jannah_cuisine,Jannah Cuisine,Food,241300,777,1100,126,0,0,42,Macro,241426,3,0.0032200446744936823,2
nour_chiba_officiel,Nour Chiba Officiel,Singer,357400,792,1300,115200,0,0,42,Macro,472600,11,0.002215998276445785,2
sami.benabdallah,Sami.Benabdallah,Lifestyle,165600,3600,1200,42300,0,0,42,Macro,207900,6,0.02173899916063309,2
troudibilel,Troudibilel,Food,298400,988,2000,40800,0,0,42,Macro,339200,3,0.0033109808613241915,2
niels_aouay,Niels Aouay,Lifestyle,410700,4600,4800,1,0,0,42,Macro,410701,6,0.011200362307372029,2
k__obs,K  Obs,Lifestyle,176300,1300,2000,51800,0,0,42,Macro,228100,6,0.0073737528431489325,2
yassine.gaidi,Yassine.Gaidi,Photographer,97800,3200,1100,6600,0,0,42,Macro,104400,9,0.0327195018455844,2
amal.amamou,Amal.Amamou,Lifestyle,202100,1200,1500,1,0,0,42,Macro,202101,6,0.0059376252467825495,2
majdouline_beauty,Majdouline Beauty,Lifestyle,168100,3300,1200,6600,0,0,42,Macro,174700,6,0.019631055139469722,2
inasaly,Inasaly,Actors,258600,517,1100,66100,0,0,42,Macro,324700,0,0.001999218873863597,2
macneer,Macneer,Fashion,130199,969,2200,235,0,0,42,Macro,130434,2,0.007442396313364056,2
thew_lifestyle,Thew Lifestyle,Lifestyle,441200,1500,1400,11,0,0,42,Macro,441211,6,0.0033998109705100396,2
nadhir_mindfreak,Nadhir Mindfreak,Photographer,140400,7500,1800,13,0,0,42,Macro,140413,9,0.053418422945705514,2
ilef.b,Ilef.B,Modeling,342700,2100,2100,29500,0,0,42,Macro,372200,8,0.006127790698013721,2
coucoulesgourmands,Coucoulesgourmands,Food,313100,2700,4900,835,0,0,42,Macro,313935,3,0.008623415447411539,2
thequeen_nutella,Thequeen Nutella,Modeling,106100,933,4900,4200,0,0,42,Macro,110300,8,0.00879350807249696,2
raoudhaamri_nutrition,Raoudhaamri Nutrition,Doctor,347900,1100,1200,118700,0,0,42,Macro,466600,1,0.0031618190232278725,2
tastemysweetlife,Tastemysweetlife,Food,281900,5900,3300,6,0,0,42,Macro,281906,3,0.020929333347522713,2
