username,nom,categorie,biographie,instagram_followers,instagram_following,instagram_posts,tiktok_followers,tiktok_following,tiktok_likes,youtube_subscribers,youtube_views,twitter_followers,score_influence,url_profil,photo_url,source,date_collecte,youtube_videos,niveau
dorra_zarrouk,Dorra zarrouk,Actors,Actress Cinema |TV| Theater | Fashion| Art| Humanity Masters in Political Science,16700000,893,3300,1200000,0,0,0,0,0,65,https://www.influenceurs.tn/influencer/show/dorra_zarrouk,https://www.influenceurs.tn/uploads/dorra_zarrouk.jpg,influenceurs.tn,2026-03-17 15:30:11,,Macro
manelamara,Manelamara,"Actors, TV Host",Artist/ influencer 🇹🇳🇦🇪📍 for collaboration: contact@famousagency.tn ☎️ +21629920000,5000000,12,5900,819700,0,0,0,0,0,60,https://www.influenceurs.tn/influencer/show/manelamara,https://www.influenceurs.tn/uploads/manelamara.jpg,influenceurs.tn,2026-03-17 15:30:14,,Macro
beki_ksri,Beki ksri,Video Blogger,ⵣ based in Dubai 🇦🇪 Tv host | Traveler | skydiver | gamer Mother of @azul_podcast,2900000,2700,199,1800000,0,0,2800000,350000000,0,55,https://www.influenceurs.tn/influencer/show/beki_ksri,https://www.influenceurs.tn/uploads/beki_ksri.jpg,influenceurs.tn | youtube_demo,2026-03-17 15:30:21,450.0,Micro
zaza_show_,Zaza show,Singer,▶️ Bienvenue Sur Instagram Officiel De LA Chanteuse Tunisienne Zaza Show 🇹🇳 Digital Manager :@amir_ghnimi @mounir_ben_hussein,2400000,131,2300,570900,0,0,0,0,0,54,https://www.influenceurs.tn/influencer/show/zaza_show_,https://www.influenceurs.tn/uploads/zaza_show_.jpg,influenceurs.tn,2026-03-17 15:30:53,,Micro
rymooshka,Rymooshka,Lifestyle,BRAND AMBASSADOR 👗 TV Presenter,2200000,405,1200,20,0,0,0,0,0,54,https://www.influenceurs.tn/influencer/show/rymooshka,https://www.influenceurs.tn/uploads/rymooshka.jpg,influenceurs.tn,2026-03-17 15:31:57,,Micro
hanen_chograni_,Hanen chograni,Actors,Bienvenue Sur Instagram Officel Hanen Chograni Digital Manager : @mounir_ben_hussein,1200000,2600,2400,194900,0,0,0,0,0,54,https://www.influenceurs.tn/influencer/show/hanen_chograni_,https://www.influenceurs.tn/uploads/hanen_chograni_.jpg,influenceurs.tn,2026-03-17 15:39:24,,Micro
omar_lartiste_maquilleur,Omar lartiste maquilleur,Makeup Artist,"𝙊𝙢𝙖𝙧 𝙇’𝙖𝙧𝙩𝙞𝙨𝙩𝙤 𝘛𝘶𝘯𝘪𝘴 🇹🇳 📞 | (+𝟸𝟷𝟼) 𝟹𝟷𝟷𝟽𝟼𝟷𝟾𝟼 📍 | 𝟸𝟽 𝚁𝚞𝚎 𝙰𝚜𝚍𝚛𝚞𝚋𝚊𝚕 𝟷𝟶𝟶𝟸, 𝚃𝚞𝚗𝚒𝚜 #makeupartist #weddingdress",1100000,582,1100,6200,0,0,0,0,0,54,https://www.influenceurs.tn/influencer/show/omar_lartiste_maquilleur,https://www.influenceurs.tn/uploads/omar_lartiste_maquilleur.jpg,influenceurs.tn,2026-03-17 15:40:15,,Micro
officialnajlaettounsia,Officialnajlaettounsia,Singer,@avanticlubdarts ☎️ l 𝐁𝐨𝐨𝐤𝐢𝐧𝐠 & 𝐌𝐚𝐧𝐚𝐠𝐞𝐦𝐞𝐧𝐭 𝟓𝟒 𝟖𝟏𝟖 𝟒𝟎𝟎 🎥 l 𝐅𝐢𝐧𝐝 𝐍𝐀𝐉𝐋𝐀 𝐨𝐧 𝐓𝐢𝐤𝐓𝐨𝐤 @.najlaettounsia 🔵l 𝐅𝐚𝐜𝐞𝐛𝐨𝐨𝐤: نجلاء التونسية 𝐍𝐚𝐣𝐥𝐚 𝐄𝐭𝐭𝐨𝐮𝐧𝐬𝐢𝐚 +𝟏𝐌 👇🏻,1500000,40,1100,405200,0,0,0,0,0,54,https://www.influenceurs.tn/influencer/show/officialnajlaettounsia,https://www.influenceurs.tn/uploads/officialnajlaettounsia.jpg,influenceurs.tn,2026-03-17 15:33:49,,Micro
rapklay_bbj,Rapklay bbj,Rap,For Booking:52761341 Digital Manager : @choukou_chilavert klaybbjprofessional@gmail.com,1000000,359,1300,39500,0,0,0,0,0,54,https://www.influenceurs.tn/influencer/show/rapklay_bbj,https://www.influenceurs.tn/uploads/rapklay_bbj.jpg,influenceurs.tn,2026-03-17 15:42:04,,Micro
theswaggmantv,Theswaggmantv,Rap,"Swagg Man®💋 🇺🇸🇧🇷🇫🇷 9X📀.😍Fashion Icon & Addict/Styles,Rare/Limited Edition Goods/Vintage💎⌚️👖🧢👕👟🕶/🎥🎹🎼🖤Animals🖤Cars🚗🖤🛥 📍Miami🏝FL🇺🇸🛩 🎤@swmentertainment 📦@poseybrofficial",1000000,5600,5900,1300000,0,0,0,0,0,54,https://www.influenceurs.tn/influencer/show/theswaggmantv,https://www.influenceurs.tn/uploads/theswaggmantv.jpg,influenceurs.tn,2026-03-17 15:31:52,,Micro
