username,nom,categorie,biographie,instagram_followers,instagram_following,instagram_posts,tiktok_followers,tiktok_following,tiktok_likes,youtube_subscribers,youtube_views,twitter_followers,score_influence,url_profil,photo_url,source,date_collecte
dorra_zarrouk,Dorra zarrouk,Actors,Actress Cinema |TV| Theater | Fashion| Art| Humanity Masters in Political Science,16700000,893,3300,1200000,0,0,0,0,0,75,https://www.influenceurs.tn/influencer/show/dorra_zarrouk,https://www.influenceurs.tn/uploads/dorra_zarrouk.jpg,influenceurs.tn,2026-03-17 15:30:11
manelamara,Manelamara,"Actors, TV Host",Artist/ influencer 🇹🇳🇦🇪📍 for collaboration: contact@famousagency.tn ☎️ +21629920000,5000000,12,5900,819700,0,0,0,0,0,70,https://www.influenceurs.tn/influencer/show/manelamara,https://www.influenceurs.tn/uploads/manelamara.jpg,influenceurs.tn,2026-03-17 15:30:14
ghali,Ghali,Rap,CASA MIA,3600000,1100,110,1600000,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/ghali,https://www.influenceurs.tn/uploads/ghali.jpg,influenceurs.tn,2026-03-17 15:30:18
beki_ksri,Beki ksri,Video Blogger,ⵣ based in Dubai 🇦🇪 Tv host | Traveler | skydiver | gamer Mother of @azul_podcast,2900000,2700,199,1800000,0,0,0,0,0,56,https://www.influenceurs.tn/influencer/show/beki_ksri,https://www.influenceurs.tn/uploads/beki_ksri.jpg,influenceurs.tn,2026-03-17 15:30:21
hendsabri,Hendsabri,Actors,"""Actress/mother/producer #كتبجية @kotobjeya #خطوة_خطوة",3600000,1300,1800,914900,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/hendsabri,https://www.influenceurs.tn/uploads/hendsabri.jpg,influenceurs.tn,2026-03-17 15:30:25
dhaferlabidine,Dhaferlabidine,Actors,Facebook: Dhaferlabidine Twitter: @ Dhaferlabidine,4099999,753,1000,0,0,0,0,0,0,53,https://www.influenceurs.tn/influencer/show/dhaferlabidine,https://www.influenceurs.tn/uploads/dhaferlabidine.jpg,influenceurs.tn,2026-03-17 15:30:30
aichabahmed,Aichabahmed,Actors,,2700000,787,613,1300000,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/aichabahmed,https://www.influenceurs.tn/uploads/aichabahmed.jpg,influenceurs.tn,2026-03-17 15:30:33
marwa_agrebi_,Marwa agrebi,"Actors, TV Host",TV SHOW HOST Brand Ambassador 💋 @pointm_parfumeries 🚙 @skodatunisie,3500000,1500,2100,393300,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/marwa_agrebi_,https://www.influenceurs.tn/uploads/marwa_agrebi_.jpg,influenceurs.tn,2026-03-17 15:30:36
latifaofficial,Latifaofficial,Singer,"Arab International singer & actress, winner of The World Music Award 📩 management@latifaonline.net #سحابة_صيف",3500000,5300,4600,363000,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/latifaofficial,https://www.influenceurs.tn/uploads/latifaofficial.jpg,influenceurs.tn,2026-03-17 15:30:39
atiaaichaofficial,Atiaaichaofficial,Actors,"Actress, producer, entrepreneur 🇹🇳📍🇪🇬 Manager +201288884806 IHEC CARTHAGE 💪 life coach certifiée 👩‍🎓 Ambassador @lella_zwina @odaw.tunis",3200000,752,401,327500,0,0,0,0,0,60,https://www.influenceurs.tn/influencer/show/atiaaichaofficial,https://www.influenceurs.tn/uploads/atiaaichaofficial.jpg,influenceurs.tn,2026-03-17 15:30:42
dareen_haddad,Dareen haddad,Actors,,3400000,1800,576,25800,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/dareen_haddad,https://www.influenceurs.tn/uploads/dareen_haddad.jpg,influenceurs.tn,2026-03-17 15:30:45
sanfara7050,Sanfara7050,Rap,For booking contact : WhatsApp +216 21 023 000 Tel +216 53 428 686 Email : sanfara.official@gmail.com @smurfit.tun,2200000,196,37,713500,0,0,0,0,0,52,https://www.influenceurs.tn/influencer/show/sanfara7050,https://www.influenceurs.tn/uploads/sanfara7050.jpg,influenceurs.tn,2026-03-17 15:30:50
zaza_show_,Zaza show,Singer,▶️ Bienvenue Sur Instagram Officiel De LA Chanteuse Tunisienne Zaza Show 🇹🇳 Digital Manager :@amir_ghnimi @mounir_ben_hussein,2400000,131,2300,570900,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/zaza_show_,https://www.influenceurs.tn/uploads/zaza_show_.jpg,influenceurs.tn,2026-03-17 15:30:53
